session_id,sample_id,orig_dialect,speaker_id,system,smos,cmos,intelligibility,text
22987453-c586-4cc8-adfe-eb56b1792ef0,19_Bern_d2dee463-0eb9-47fa-b739-f1dccd8638f9,Bern,d2dee463-0eb9-47fa-b739-f1dccd8638f9,GPT_long_coqui_srf,4,-1,3,Ich war heute im Park und habe eine Runde gejoggt. Danach habe ich noch einen Kaffee im Café getrunken.
22987453-c586-4cc8-adfe-eb56b1792ef0,20_Basel_fd72db57-c291-43e6-840e-92e06f83ae56,Basel,fd72db57-c291-43e6-840e-92e06f83ae56,GPT_long_coqui_base,4,-1,4,"Die neue Serie, die ich angefangen habe, ist richtig spannend. Ich konnte kaum aufhören, weiterzuschauen, bis es schon spät war."
22987453-c586-4cc8-adfe-eb56b1792ef0,10_Bern_d2dee463-0eb9-47fa-b739-f1dccd8638f9,Bern,d2dee463-0eb9-47fa-b739-f1dccd8638f9,GPT_long_coqui_srf_finetuned,4,0,4,Ich war heute im Park und habe eine Runde gejoggt. Danach habe ich noch einen Kaffee im Café getrunken.
22987453-c586-4cc8-adfe-eb56b1792ef0,8_Ostschweiz_a677eda9-7709-4c9d-8656-e7b665140f3b,Ostschweiz,a677eda9-7709-4c9d-8656-e7b665140f3b,GPT_long_coqui_base,3.5,0,4,"Das Internet hat den Zugang zu Wissen und Informationen revolutioniert. Es gibt fast nichts, was nicht online zu finden ist. Allerdings ist es auch wichtig, kritisch mit den Informationen umzugehen und die Quellen sorgfältig zu prüfen."
22987453-c586-4cc8-adfe-eb56b1792ef0,1_Zürich,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,SNF_long_coqui_srf_finetuned,4,0,5,Dabei braucht einem der Winter keine Angst zu machen. Da kann man nicht in der Jugendherberge absteigen.
22987453-c586-4cc8-adfe-eb56b1792ef0,1_Zürich,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,SNF_long_coqui_srf,4,0,4,Dabei braucht einem der Winter keine Angst zu machen. Da kann man nicht in der Jugendherberge absteigen.
22987453-c586-4cc8-adfe-eb56b1792ef0,0_Bern,Bern,7ca44480-9007-4c1c-8046-aade3c4e6a87,SNF_long_coqui_srf,4.5,0,3,Da kann man nicht in der Jugendherberge absteigen. Zumindest in den ersten drei Episoden überwiegt letzterer Einfluss.
22987453-c586-4cc8-adfe-eb56b1792ef0,1_Zürich,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,SNF_long_coqui_base,3.5,0,5,Dabei braucht einem der Winter keine Angst zu machen. Da kann man nicht in der Jugendherberge absteigen.
22987453-c586-4cc8-adfe-eb56b1792ef0,11_Wallis,Wallis,50e4a935-c887-4c38-aff2-6286aab725d1,SNF_long_coqui_srf,4.5,-1,5,Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz. Trotzdem möchte die Finanzlage anhand der Kennzahlen gesamthaft würdigen.
22987453-c586-4cc8-adfe-eb56b1792ef0,8_Ostschweiz,Ostschweiz,684dd9cf-2844-407b-9a7f-12e7b559773f,SNF_long_coqui_base,3.5,-1,5,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste. Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz."
22987453-c586-4cc8-adfe-eb56b1792ef0,14_Zürich_ce8839ae-3b20-491c-8c33-cef08b4def6e,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,GPT_long_coqui_srf,4,0,5,"Die neue Serie, die ich angefangen habe, ist richtig spannend. Ich konnte kaum aufhören, weiterzuschauen, bis es schon spät war."
22987453-c586-4cc8-adfe-eb56b1792ef0,19_Innerschweiz_acf67674-c912-42c0-ba3c-f85e2db965ac,Innerschweiz,acf67674-c912-42c0-ba3c-f85e2db965ac,GPT_long_coqui_base,4.5,-1,4,"Ich war gestern bei einer Ausstellung. Es ging um moderne Kunst, und einige der Werke waren wirklich beeindruckend. Es war interessant zu sehen, wie Künstler ihre Botschaften auf so unterschiedliche Weise vermitteln."
22987453-c586-4cc8-adfe-eb56b1792ef0,0_Bern,Bern,7ca44480-9007-4c1c-8046-aade3c4e6a87,SNF_long_coqui_srf_finetuned,3.5,0,5,Da kann man nicht in der Jugendherberge absteigen. Zumindest in den ersten drei Episoden überwiegt letzterer Einfluss.
22987453-c586-4cc8-adfe-eb56b1792ef0,8_Zürich_ce8839ae-3b20-491c-8c33-cef08b4def6e,Zürich,ce8839ae-3b20-491c-8c33-cef08b4def6e,GPT_long_coqui_srf,4,0,5,"Ich war gestern bei einer Ausstellung. Es ging um moderne Kunst, und einige der Werke waren wirklich beeindruckend. Es war interessant zu sehen, wie Künstler ihre Botschaften auf so unterschiedliche Weise vermitteln."
22987453-c586-4cc8-adfe-eb56b1792ef0,0_Innerschweiz,Innerschweiz,5184dba3-c5e1-4570-ba26-62176e8c8dcc,SNF_long_coqui_base,3.5,0,5,Da kann man nicht in der Jugendherberge absteigen. Zumindest in den ersten drei Episoden überwiegt letzterer Einfluss.
22987453-c586-4cc8-adfe-eb56b1792ef0,0_Innerschweiz,Innerschweiz,5184dba3-c5e1-4570-ba26-62176e8c8dcc,SNF_long_coqui_srf_finetuned,3.5,0,4,Da kann man nicht in der Jugendherberge absteigen. Zumindest in den ersten drei Episoden überwiegt letzterer Einfluss.
