session_id,sample_id,orig_dialect,speaker_id,system,smos,cmos,intelligibility,text
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,20_Graubünden_c4f6bcdf-fc02-4fe8-9277-0701cfffebab,Graubünden,c4f6bcdf-fc02-4fe8-9277-0701cfffebab,GPT_long_coqui_srf,2.5,-1,3,"Das Internet hat den Zugang zu Wissen und Informationen revolutioniert. Es gibt fast nichts, was nicht online zu finden ist. Allerdings ist es auch wichtig, kritisch mit den Informationen umzugehen und die Quellen sorgfältig zu prüfen."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,19_Ostschweiz_a677eda9-7709-4c9d-8656-e7b665140f3b,Ostschweiz,a677eda9-7709-4c9d-8656-e7b665140f3b,GPT_long_coqui_srf,1,-1,2,Ich war heute im Park und habe eine Runde gejoggt. Danach habe ich noch einen Kaffee im Café getrunken.
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,8_Zürich,Zürich,4ee1811c-9884-4261-99cb-2f7346c8ea6e,SNF_long_coqui_srf,2,0,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste. Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,9_Ostschweiz_684dd9cf-2844-407b-9a7f-12e7b559773f,Ostschweiz,684dd9cf-2844-407b-9a7f-12e7b559773f,GPT_long_coqui_base,1.5,-2,4,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,14_Ostschweiz_684dd9cf-2844-407b-9a7f-12e7b559773f,Ostschweiz,684dd9cf-2844-407b-9a7f-12e7b559773f,GPT_long_coqui_srf_finetuned,3,-1,4,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,22_Zürich_ba826a45-33f8-47ef-9516-a66a201aac29,Zürich,ba826a45-33f8-47ef-9516-a66a201aac29,GPT_long_coqui_srf_finetuned,1.5,-1,4,"Vor kurzem habe ich in einem kleinen Café ein unglaublich gutes Dessert gegessen. Es war eine Mischung aus Schokolade und frischen Beeren, und der Geschmack war einfach perfekt. Ich muss unbedingt herausfinden, wo es das noch gibt."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,1_Zürich_ba826a45-33f8-47ef-9516-a66a201aac29,Zürich,ba826a45-33f8-47ef-9516-a66a201aac29,GPT_long_coqui_base,1.5,-1,3,"Vor kurzem habe ich in einem kleinen Café ein unglaublich gutes Dessert gegessen. Es war eine Mischung aus Schokolade und frischen Beeren, und der Geschmack war einfach perfekt. Ich muss unbedingt herausfinden, wo es das noch gibt."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,8_Graubünden,Graubünden,6516567b-0d9b-4853-880c-d5f0327dd384,SNF_long_coqui_base,3.5,-2,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste. Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,8_Bern,Bern,7ca44480-9007-4c1c-8046-aade3c4e6a87,SNF_long_coqui_srf,1.5,1,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste. Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz."
f1bc5332-d57c-4ce1-a065-644cfe1fadf3,8_Innerschweiz,Innerschweiz,4a8346e7-fa21-49b9-9a6f-c69ef828a68c,SNF_long_coqui_base,1.5,-2,4,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste. Und auch die hohen Lebenshaltungskosten trüben das Bild von der Schweiz."
