session_id,sample_id,orig_dialect,speaker_id,system,smos,cmos,intelligibility,text
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Graubünden,aece75d7-5d2b-47a4-9f87-24962dfd2e38,SNF_short_coqui_base,2.5,-2,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,de69bd12b304e8923568d078d45d04beca0dca5436a6f54de054ef1cce055ca4,Ostschweiz,684dd9cf-2844-407b-9a7f-12e7b559773f,SNF_short_coqui_base,2.5,-1,5,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,cc78a0dafea00fd9d7f83f9f327ae3de3f8a450ae15d3f98a7ab6008e64c8d34,Bern,7ca44480-9007-4c1c-8046-aade3c4e6a87,SNF_short_coqui_base,3,-3,2,"Obwohl bereits dannzumal das ""Nichterreichen"" der Vorgaben klar erwartet werden musste."
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,de69bd12b304e8923568d078d45d04beca0dca5436a6f54de054ef1cce055ca4,Basel,12fb73be-cf60-4794-befb-381682ccda9a,SNF_short_coqui_srf,1.5,-1,4,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Zürich,4ee1811c-9884-4261-99cb-2f7346c8ea6e,SNF_short_coqui_base,3.5,-1,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,de69bd12b304e8923568d078d45d04beca0dca5436a6f54de054ef1cce055ca4,Zürich,ba826a45-33f8-47ef-9516-a66a201aac29,SNF_short_coqui_srf,2.5,-2,3,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,e4eb5dfe3edbec04b120cc584a6285d505626ebe164de0b46c1ec78e5b3b3f43,Basel,8800b4de-fa22-4fdc-9f29-457c4010fd57,SNF_short_coqui_srf_finetuned,4,-1,5,Da kann man nicht in der Jugendherberge absteigen.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,f9ed30ab37cbfc1a528eab13c910f10796a2303fdcce47f4a32dde893bc70c22,Wallis,fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,SNF_short_coqui_base,3,-1,5,Wir werden dein unglaubliches Talent und deine endlose Inspiration nie vergessen.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Graubünden,aece75d7-5d2b-47a4-9f87-24962dfd2e38,SNF_short_coqui_srf_finetuned,2.5,-1,5,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
8609bd45-ed3e-4f9d-93fc-fae7dbe2358f,a48a821c1dec59ff0a3c6767ffe39ef8a31622e29600d46daf8050c674d04115,Zürich,4ee1811c-9884-4261-99cb-2f7346c8ea6e,SNF_short_coqui_srf,4,-1,4,Geplant sind laut Mitteilung Werkstätten mit Arbeitsplätzen für qualifizierte Handwerker.
