gen_id,ref_id,dialect_region,gen_text,gen_phoneme,gen_dialect,speaker_id,ref_text,sentence_id,gender,age,token_count
10_Innerschweiz_5184dba3-c5e1-4570-ba26-62176e8c8dcc,10,Innerschweiz,Mit der Nachhaltigkeit des Tourismus wächst immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,a s ts iː o n aʊ x a l t ɪ ɡ ɪ m t u r i m u s v ɔ x s t ɪ m ə r m eː r ɛ n r aɪ s ə n d iː l e ɡ v a t ʊ f ʊ m b ɛ l t f r y n t f iː h o t ɛ l ʊ n t a k t i v iː t ɛ t ə d a t r ɛ ŋ t x ɔ n t d iː t u r i s m ʊ s ɪ n d u ʃ t r iː l aʊ ŋ f r y ʃ t ɪ k f ɛ r a n d r ə,Basel,5184dba3-c5e1-4570-ba26-62176e8c8dcc,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,twenties,26
10_Zürich_3e7e3ad6-938d-40fa-9787-2e9f8c529a66,10,Zürich,das Interesse an nachhaltigem Tourismus wächst. Immer mehr reisen die Lege wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,ɔ z ɪ n t r a s ə a n ɔ x aʊ t ɪ ɡ ə n t ʊ r ɪ s m ʊ s v ɔ s t ɪ m ə r m eː ə r aɪ z ə n d iː l eɪ ɡ ə v ɛ r t uː f uː v a l t f r y n t l ɪ f iː h oː t ə l ʊ n t ɔ k t iː v iː t eː t ə d ɛ t r ɛ t x ɔ n d iː t u r ɪ s m ʊ s ɪ n d uː ʃ t r iː j ɔ n f r y ç t ɪ k f ɛ r a n d,Basel,3e7e3ad6-938d-40fa-9787-2e9f8c529a66,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,sixties,26
10_Innerschweiz_4a8346e7-fa21-49b9-9a6f-c69ef828a68c,10,Innerschweiz,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,s ɪ n t r a s ə n a n aʊ x aʊ t ɪ ɡ ə m t uː r ɪ s z m ʊ s v ɑː x s d iː z ə ɪ m m e ɪ r aɪ z ə n d ə l ɛ k ɡ ə v ɛ r t oː f uː m b f r y n t l ɪ x ə h oː p ə z ʊ n d aʊ x d iː v iː t eː t ə d ɛ t r a n ts h a l n t d iː t ʊ r i z m ʊ s ɪ n d ʊ ʃ t r iː l aʊ ŋ f r ɪ ʃ t ɪ k f ɛ r a n d ə r,Basel,4a8346e7-fa21-49b9-9a6f-c69ef828a68c,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,fifties,26
10_Basel_12fb73be-cf60-4794-befb-381682ccda9a,10,Basel,In der Zukunft haben die Interessen in der Nachhaltigkeit des Tourismus immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Diese können die Tourismusindustrie langfristig verändern.,eː n eː n a s ɪ n t r a s s ə m ɪ t ʊ n oː x a l t ɪ ɡ ə m t uː r ɪ s m ʊ v ɔ k s s t ɪ m ʊ m eː r ə aɪ s ə n d iː l eː ɡ ə v a t ʊ f uː m a l f y n t ɪ ə h oː t ə ʊ n t aʊ k t iː v iː t a t ə d ɛ ɾ n a r h ʊ n t x ø n t t uː r ɪ s m ʊ s ɪ n d ʊ ʃ t r iː l aʊ n f ɪ ç t ɪ k f ɛ a n t,Basel,12fb73be-cf60-4794-befb-381682ccda9a,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,twenties,26
10_Graubünden_d2f85a8f-7c45-48e3-a804-0b192f7f8ad6,10,Graubünden,dass das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Diesen Trend könnte die Tourismusindustrie langfristig,t ɛ m iː d a s ɪ n t ɛ r ɛ s ə a n n ɔ x a l t ɪ ɡ ə m t u r i s m u s v a k s t ɪ m r m eː r aɪ z ə n d iː l eː ɡ ə v ɛ r t d uː f ɔ u m v ɛ l f r y n d iː f iː h oː t ɛ l ʊ n t a k t i v i t eː t ə d ɛ t r eː n t k ø n t iː t u r i s m u s ɪ n d u ʃ t r iː l a n f y ç,Basel,d2f85a8f-7c45-48e3-a804-0b192f7f8ad6,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
10_Zürich_9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f,10,Zürich,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,æ n z ɛ z ɛ n t r aɪ s s ɛ ɛ n ɛ f æ t ə k ʌ n t ɛ r a z m ɛ s v ɛ k s t ɪ m ɔ m ɛ r æ z ə n t iː l ɪ k ə m æ t ɪ ɪ n v æ t f a n t ʃ uː h t æ ɛ n d ɛ k t ɪ v i d ø p ʊ d ɛ t aɪ m t f a n t t ʊ r ɪ m ə z ɪ n d ʃ t uː n aɪ f r y ʃ t ɪ k f r ɔ n t ə,Bern,9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,fourties,26
10_Ostschweiz_7f4b1ca8-c652-4056-96fb-f02e82182574,10,Ostschweiz,Das Interesse an nachhaltigem Tourismus wächst immer mehr. Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,a ts iː n p z iː m p r ɛ s ə a n aʊ x x a a l t i ɡ ə m t u r i s m o s b aʊ x s t iː n m o m eː r aɪ z ə n d e l eː ɡ ə v ɛ t u f uː m b ɛ l f uː n t r x iː h oː t ɛ l s ʊ n t a k t i v iː t ɛ t ə b e t r ɛ n t y n t i t r i s m u s n d u ʃ t r iː l a m f r ɪ ʃ t ɪ k f ɛ ɾ ɛ n d ə r,Basel,7f4b1ca8-c652-4056-96fb-f02e82182574,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,thirties,26
10_Graubünden_aece75d7-5d2b-47a4-9f87-24962dfd2e38,10,Graubünden,wie das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern und,r i s i m t r eː s a a n ɔ x a d i b ɪ m t u r i s m u s v a k s t ɪ m ə m eː r aɪ s ə n d i l eː ɡ ə r d uː f oː m a t f r y n t l ə f i h oː t ɛ l s ʊ n t a k t i v i t eː t ə d ɛ t r eː n t a n t i t u r i s m u s ɪ n d u ʃ t r iː l a ŋ f r ɪ ʃ t ɪ k f ɛ r ɛ n d r a ʊ m,Basel,aece75d7-5d2b-47a4-9f87-24962dfd2e38,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,fourties,26
10_Bern_7ca44480-9007-4c1c-8046-aade3c4e6a87,10,Bern,für ein weltweites Interesse an nachhaltigem Tourismus immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,uː s v n d ɑː f oː z ɪ n t a s z ɛ n aʊ x aʊ t ɪ ɡ ə n t uː r ɪ s m ʊ s ɪ m b m eː ə ɛ iː s ə n d iː l ɛ k v a r t uː f ʊ m v aʊ t f r y n t l ɪ x iː h oː t ə s ʊ n d aʊ k l iː v iː t a t v a d a t r ɛ n t x o n d iː t u r i s m ʊ s ɪ n d uː ʃ t r iː l aʊ ŋ f r y ç t ɪ k f r a n d ə,Basel,7ca44480-9007-4c1c-8046-aade3c4e6a87,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
10_Ostschweiz_831d404d-b189-42b6-8120-073c1f8af73c,10,Ostschweiz,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Diese Trends können die Tourismusindustrie langfristig verändern.,n s ɪ ɡ b r ɛ s ə a m ɑː l t ɪ k ə n t ʊ r i s m ʊ s v ɑː k s t ɪ n m oː m eː r aɪ z ə n d iː v eɪ t ə v ɛ t ʊ v uː n v ɛ l t f uː t i x iː h oː p e l s ʊ n d a p x t ɪ d iː b ɛ d ə d eː n p r eɪ t r eɪ n d iː t o r i s m ʊ s ɪ n d ʊ ʃ t iː l a ŋ f r ɪ ʃ t ɪ k f oː r ɛ n d r ə,Basel,831d404d-b189-42b6-8120-073c1f8af73c,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,sixties,26
